question,answer,contexts,ground_truth
Shop c chi nhnh Qun 7 khng?,"D mnh tm thy chi nhnh ph hp vi khu vc bn hi: Chewy Chewy Hunh Tn Pht 447 Hunh Tn Pht, P.Tn Thun ng, Q.7. TI TP.H CH MINH Gi hot ng: 08h00 22h00 mi ngy. Ghi ch: nh v / Plus code: PPWH+HMF Qun 7, Thnh ph H Ch Minh (10.7464260, 106.7291640). Bn c th chn chi nhnh thun tin nht gh mua trc tip nh.","Stores.json: chi nhnh Chewy Chewy Hunh Tn Pht, a ch 447 Hunh Tn Pht, P.Tn Thun ng, Q.7, TP.HCM; gi hot ng 08h00 22h00, v tr nh v / Plus code PPWH+HMF.","Shop c chi nhnh ti Qun 7 447 Hunh Tn Pht, P.Tn Thun ng, Q.7."
C bnh v matcha khng?,"D mnh gi mt s mu bnh ph hp ca Chewy Chewy: SET MINI GREENTEA 119000 GREEN TEA 35000 Bn mun mnh t vn tip theo v bnh, ngn sch hay dp s dng ?","Products.json: SET MINI GREENTEA: Set 9 bnh nhn kem tr xanh, ngt du km v ng nh, gi 119000 VND; GREEN TEA: Bnh su medium nhn tr xanh km topping socola trng v hnh nhn rang, gi 35000 VND.",Shop c bnh v tr xanh/matcha nh SET MINI GREENTEA v GREEN TEA.
Shop c bn laptop khng?,"D xin li, mnh ch h tr t vn bnh v dch v ca Chewy Chewy thi . Bn c th hi mnh v menu, gi bnh, t vn bnh, t hng, giao hng, bo qun bnh hoc a ch chi nhnh nh.",OUT_OF_SCOPE Khng c d liu laptop trong knowledge base,Shop khng bn laptop; h thng ch h tr thng tin v bnh v dch v Chewy Chewy.
Shop c m gim gi khng?,D hin ti shop cha c chng trnh u i hoc m gim gi . Bn c th tham kho menu bnh hoc mnh t vn mu ph hp nh.,"UNSUPPORTED_INFO: Cu hi cha t kha m gim gi, thuc nhm thng tin cha c d liu chc chn.",Hin ti shop cha c thng tin chc chn v m gim gi hoc chng trnh u i.
Bnh c bao lu?,"D bnh nn dng trong ngy ngon nht . Nu cha dng ngay, bn nn bo qun lnh v trnh bnh ni nng. Khi n c th ly bnh ra trc mt cht bnh mm ngon hn nh.",Products.json: hng dn bo qun cc loi bnh; khuyn ngh dng trong ngy hoc bo qun lnh 12 ngy ty loi,"Bnh nn dng trong ngy m bo cht lng ngon nht. Nu cha dng ngay, nn bo qun trong ngn mt t lnh v dng trong vng 12 ngy ty loi bnh."
n hng b giao sai th x l nh th no?,"D mnh rt tic v tri nghim ny . Bn gi gip mnh s in thoi t hng, m n nu c, v vn bn gp phi shop kim tra v h tr nhanh nht nh.","Orders.json: tt c n hng, trng thi, thng tin khch hng v sn phm.","Khi n hng b giao sai, khch hng cn lin h shop v cung cp thng tin n hng c kim tra, h tr i hoc x l theo chnh sch."
Shop c nhng loi bnh no?,"D Chewy Chewy hin c cc dng bnh chnh: Set bnh mini Chewy SET BACK TO BASICS 149000 SET MINI CHICPO 159000 SET MINI BINGO 179000 SET MINI GREENTEA 119000 SET MINI BLACK PEARL 119000 ... v 12 mu khc Bnh Event sinh nht EVENT CAKE S07 519000 EVENT CAKE S06 429000 EVENT CAKE S05 429000 EVENT CAKE S04 429000 EVENT CAKE E46 1360000 ... v 48 mu khc Bnh su Medium ORIGINAL CHICKEN FLOSS 35000 YIPPEE CHOCO CRUNCCH 35000 NUTTER CHOCO CRUNCH 35000 FROOTY CHOCO CRUNCH 35000 BLACK PEARL 35000 ... v 21 mu khc Bn mun xem chi tit dng no ? V d: Event Cake, Set Mini hoc Bnh su Medium.","Products.json: danh mc sn phm gm Set bnh mini Chewy, Bnh Event sinh nht, Bnh su Medium; v d mt s sn phm: SET MINI GREENTEA, SET MINI VANILLA, CHEWY CHOCOLATE, GREEN TEA, EVENT CAKE E01, EVENT CAKE E28, EVENT CAKE E41","Shop c cc nhm bnh nh Set bnh mini Chewy, Bnh su Medium v Bnh Event sinh nht."
Shop c bnh kim cng vng khng?,"D hin ti mnh cha tm thy sn phm tn bnh kim cng vng trong d liu ca Chewy Chewy . Bn c th tham kho cc dng bnh hin c nh Set Mini, Event Cake hoc Bnh su Medium nh.","Products.json: khng tm thy sn phm tn bnh kim cng vng; cc nhm sn phm hin c gm Set bnh mini Chewy, Bnh su Medium, Event Cake.",Hin khng c thng tin v sn phm bnh kim cng vng trong d liu ca Chewy Chewy.
Nhng loi bnh di 500.000 ng l g?,"D cc mu di 500,000 bn mnh c: SET BACK TO BASICS 149000 SET MINI CHICPO 159000 SET MINI BINGO 179000 EVENT CAKE S06 429000 EVENT CAKE S05 429000 EVENT CAKE S04 429000 SET MINI GREENTEA 119000 EVENT CAKE E30 425000 EVENT CAKE E20 475000 ORIGINAL CHICKEN FLOSS 35000 Bn mun mnh lc tip theo v bnh khng ?","Products.json: cc sn phm c gi < 500000 VND, bao gm SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, SET MINI GREENTEA, EVENT CAKE S06, EVENT CAKE E20, ORIGINAL CHICKEN FLOSS",Cc loi bnh di 500.000 ng l nhng sn phm c gi nh hn 500.000 ng trong d liu.
Set mini c nhng v g?,D hin dng bnh ny bn mnh c cc v nh: Cheese Chocolate Dau Hanh Nhan Mango Oreo Pho Mai Socola Vanilla Xoai Yogurt Bn thch v no mnh gi mu bnh ph hp nha,"Products.json: dng Set Mini gm cc v Chocolate, Vanilla, Matcha/Greentea, Oreo, Cheese, Yogurt, Mango/Xoi, Du, Hnh nhn, Ph mai","Dng Set Mini ca Chewy Chewy c nhiu v nh chocolate, vanilla, matcha, oreo, cheese, yogurt v cc v tri cy."
Dng bnh no t ngt?,D mnh gi vi mu ph hp vi khu v bn nha: SET MINI BINGO 179000 EVENT CAKE S07 519000 EVENT CAKE E34 1020000 SET MINI BLACK PEARL 119000 BLACK PEARL 35000 ORANGE VENUS 28000 Bn thch dng Event Cake hay Set Mini hn mnh gi tip nha!,"Products.json: cc sn phm c m t c v ngt nh hoc d n, v d SET MINI BLACK PEARL, SET MINI GREENTEA, BLACK PEARL, GREEN TEA, EVENT CAKE S07.","Mt s dng bnh t ngt ca Chewy Chewy gm cc v matcha, tr xanh hoc black pearl nh SET MINI GREENTEA v BLACK PEARL."
Shop c giao bnh i H Ni trong ngy khng?,"D mnh tm thy chi nhnh ph hp vi khu vc bn hi: Chewy Junior L S 24 L S, Hon Kim, H Ni. Gi hot ng: 07h30 22h00 mi ngy. Hotline: 0246.6758.808 hoc 0934.578.808. Chewy Junior Trung Ha 59 Trung Ha, Cu Giy, H Ni. Gi hot ng: 07h30 22h00 mi ngy. Hotline: 0242.2458.808 hoc 0936.458.808. Chewy Junior Nguyn Khnh Ton 26 Nguyn Khnh Ton, Cu Giy, H Ni. Chewy Junior Trn i Ngha 64 Trn i Ngha, Hai B Trng, H Ni. Chewy Junior X n 450 X n, ng a, H Ni. Chewy Junior Nguyn Tri 330 Nguyn Tri, Thanh Xun, H Ni. Bn c th chn chi nhnh thun tin nht gh mua trc tip nh.","Stores.json: thng tin chi nhnh Chewy Junior ti H Ni, bao gm a ch, gi hot ng 07h30 22h00, hotline v fanpage Facebook.","Shop c chi nhnh ti H Ni v c th mua trc tip ti cc chi nhnh: L S, Trung Ha, Nguyn Khnh Ton, Trn i Ngha, X n, Nguyn Tri."
Shop c bnh sinh nht 3 tng khng?,"D mnh gi mt s mu bnh ph hp ca Chewy Chewy: EVENT CAKE S07 519000 EVENT CAKE S06 429000 EVENT CAKE S05 429000 EVENT CAKE S04 429000 EVENT CAKE E46 1360000 EVENT CAKE E45 2550000 Bn mun mnh t vn tip theo v bnh, ngn sch hay dp s dng ?","Products.json: cc mu Event Cake hin c, bao gm EVENT CAKE E01, E20, E28, E41, E46; khng c thng tin v bnh sinh nht 3 tng hoc nhiu tng.",D hin ti mnh cha tm thy thng tin bnh sinh nht 3 tng trong d liu ca Chewy Chewy. Mnh ch thy cc mu Event Cake/sinh nht theo set bnh. Bn c th tham kho cc mu Event Cake hin c hoc lin h shop xc nhn c nhn lm bnh 3 tng khng .
CHEWY CHOCOLATE gi bao nhiu?,D c . Dng Chewy Chewy c v Chocolate nh: SET MINI BINGO 179000 SET MINI GREENTEA 119000 SET MINI CRUSTY 119000 YIPPEE CHOCO CRUNCCH 35000 NUTTER CHOCO CRUNCH 35000 FROOTY CHOCO CRUNCH 35000 CHOCOLATE OREO CRUNCH 32000 ALMOND SWEETHEART 32000 Bn mun mnh lc thm theo gi hoc ngt khng ?,"Products.json: Tn bnh CHEWY CHOCOLATE, m t: bnh su medium nhn chocolate truyn thng, gi 28000 VND, danh mc Bnh su Medium.",D CHEWY CHOCOLATE c gi 28.000. y l bnh su medium nhn chocolate truyn thng ca Chewy Chewy .
Xin cho,"Xin cho bn. Mnh l tr l t vn ca Chewy Chewy. Bn mun xem menu, hi gi, c t vn bnh hay t hng a?","Scope_guard.py: cu cho hi thuc nhm chitchat an ton, vn cho php chatbot phn hi","Xin cho bn. Mnh l tr l t vn ca Chewy Chewy. Bn mun xem menu, hi gi, c t vn bnh hay t hng ?"
Set mini c no t ngt & di 150k?,"D cc mu t ngt di 150,000 bn mnh c: SET MINI BLACK PEARL 119000 SET MINI DORAEMON 129000 SET MINI VANILLA 89000 SET MINI YOGURT 119000 SET MINI MANGO DELUXE 119000 Bn mun mnh lc tip theo v bnh khng ?","Products.json: ch chn cc set mini c m t t ngt v gi 150000 VND. V d: SET MINI BLACK PEARL, SET MINI DORAEMON, SET MINI VANILLA, SET MINI YOGURT, SET MINI MANGO DELUXE",Ch cc set mini thc s t ngt v c gi 150000 VND trong d liu sn phm hin c.
"Ti t 2 SET MINI GREENTEA, 1 EVENT CAKE E28 v APPLE CHEESE",D bn cho mnh xin tn ngi nhn nh.,"Orders.json: c n hng vi cc sn phm SET MINI GREENTEA, EVENT CAKE E28, APPLE CHEESE; thng tin s lng v trng thi n hng c lu.","Khch hng t 2 SET MINI GREENTEA, 1 EVENT CAKE E28 v 1 APPLE CHEESE, thng tin n hng xc thc t d liu h thng."
bn l ai,Mnh l nhn vin t vn bnh ca Chewy Chewy. Bn ang mun bit thm g?,"Scope_guard.py: cu hi thuc nhm chitchat an ton, vn cho php chatbot phn hi.",Mnh l nhn vin t vn bnh ca Chewy Chewy. Bn ang mun bit thm g?
bn lm g,Mnh l nhn vin t vn bnh ca Chewy Chewy. Bn mun bit thm g?,"Scope_guard.py: cu hi thuc nhm chitchat an ton, vn cho php chatbot phn hi.",Mnh l nhn vin t vn bnh ca Chewy Chewy. Bn mun bit thm g?
"Bye, chc bn mt ngy tt lnh.",D cm n bn gh Chewy Chewy. Chc bn mt ngy tht ngt ngo nh!,"Scope_guard.py: cu cho/tm bit thuc nhm chitchat an ton, vn cho php chatbot phn hi.",D cm n bn gh Chewy Chewy. Chc bn mt ngy tht ngt ngo nh!
Hng v bnh su medium c g?,D hin dng bnh ny bn mnh c cc v nh: Almond Cheese Chocolate Dau Hanh Nhan Mango Oreo Pho Mai Socola Strawberry Vanilla Xoai Yogurt Bn thch v no mnh gi mu bnh ph hp nha,"Products.json: cc sn phm Bnh su Medium hin c, vi cc v nh Almond, Cheese, Chocolate, Dau, Hanh Nhan, Mango, Oreo, Pho Mai, Socola, Strawberry, Vanilla, Xoai, Yogurt","Cc hng v bnh su Medium hin c trong d liu sn phm: Almond, Cheese, Chocolate, Dau, Hanh Nhan, Mango, Oreo, Pho Mai, Socola, Strawberry, Vanilla, Xoai, Yogurt"
C mn g trong menu hm nay?,D Chewy Chewy hin c cc dng bnh chnh: Set bnh mini Chewy SET BACK TO BASICS 149000 SET MINI CHICPO 159000 SET MINI BINGO 179000 SET MINI GREENTEA 119000 SET MINI BLACK PEARL 119000 ... v 12 mu khc Bnh Event sinh nht EVENT CAKE S07 519000 EVENT CAKE S06 429000 EVENT CAKE S05 429000 EVENT CAKE S04 429000 EVENT CAKE E46 1360000 ... v 48 mu khc Bnh su Medium ORIGINAL CHICKEN FLOSS 35000 YIPPEE CHOCO CRUNCCH 35000 NUTTER CHOCO CRUNCH 35000 FROOTY CHOCO CRUNCH 35000 BLACK PEARL 35000 ... v 21 mu khc Bn mun xem chi tit dng no ?,"Products.json: cc dng sn phm hin c gm Set bnh mini Chewy, Bnh Event sinh nht, Bnh su Medium; vi cc mu tiu biu nh SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, SET MINI GREENTEA, EVENT CAKE S07, EVENT CAKE S06, ORIGINAL CHICKEN FLOSS, YIPPEE CHOCO CRUNCCH, BLACK PEARL","Cc dng bnh chnh trong menu hin c l: Set bnh mini Chewy, Bnh Event sinh nht, Bnh su Medium."
Hn dng ca bnh l bao nhiu?,"D bnh nn dng trong ngy ngon nht . Nu cha dng ngay, bn nn bo qun lnh (dng c trong 23 ngy) v trnh bnh ni nng. Khi n c th ly bnh ra trc mt cht bnh mm ngon hn nh.",Products.json: cc sn phm bnh c hng dn bo qun; khuyn ngh dng trong ngy hoc bo qun lnh 23 ngy ty loi bnh.,Bnh nn n trong ngy hay qua ngy c trong 23 ngy ty loi bnh.
Bnh nn n trong ngy hay qua ngy c?,"D bnh nn dng trong ngy ngon nht . Nu cha dng ngay, bn nn bo qun lnh (dng c trong 23 ngy) v trnh bnh ni nng. Khi n c th ly bnh ra trc mt cht bnh mm ngon hn nh.",Products.json: cc sn phm bnh c hng dn bo qun; khuyn ngh dng trong ngy hoc bo qun lnh 23 ngy ty loi bnh.,Bnh nn n trong ngy hoc bo qun lnh trong 23 ngy ty loi bnh.
Set no best seller cho ngi yu?,"D mnh gi mt s mu bnh ph hp ca Chewy Chewy: SET BACK TO BASICS 149000 SET MINI CHICPO 159000 SET MINI BINGO 179000 EVENT CAKE S07 519000 EVENT CAKE S06 429000 EVENT CAKE S05 429000 Bn mun mnh t vn tip theo v bnh, ngn sch hay dp s dng ?","Products.json: cc sn phm bn chy (best seller) da trn s lng bn hoc nh gi cao; cc set tiu biu: SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, EVENT CAKE S07, S06, S05.","Cc set bn chy (best seller) thc t c trong d liu sn phm: SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, EVENT CAKE S07, EVENT CAKE S06, EVENT CAKE S05."
