question,answer,contexts,ground_truth
Shop có chi nhánh Quận 7 không?,"Dạ mình tìm thấy chi nhánh phù hợp với khu vực bạn hỏi: Chewy Chewy Huỳnh Tấn Phát 447 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7. TẠI TP.HỒ CHÍ MINH Giờ hoạt động: 08h00 22h00 mỗi ngày. Ghi chú: Định vị / Plus code: PPWH+HMF Quận 7, Thành phố Hồ Chí Minh (10.7464260, 106.7291640). Bạn có thể chọn chi nhánh thuận tiện nhất để ghé mua trực tiếp nhé.","Stores.json: chi nhánh Chewy Chewy Huỳnh Tấn Phát, địa chỉ 447 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7, TP.HCM; giờ hoạt động 08h00 22h00, vị trí định vị / Plus code PPWH+HMF.","Shop có chi nhánh tại Quận 7 ở 447 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7."
Có bánh vị matcha không?,"Dạ mình gợi ý một số mẫu bánh phù hợp của Chewy Chewy: SET MINI GREENTEA 119000đ GREEN TEA 35000đ Bạn muốn mình tư vấn tiếp theo vị bánh, ngân sách hay dịp sử dụng ạ?","Products.json: SET MINI GREENTEA: Set 9 bánh nhân kem trà xanh, ngọt dịu kèm vị đắng nhẹ, giá 119000 VND; GREEN TEA: Bánh su medium nhân trà xanh kèm topping socola trắng và hạnh nhân rang, giá 35000 VND.",Shop có bánh vị trà xanh/matcha như SET MINI GREENTEA và GREEN TEA.
Shop có bán laptop không?,"Dạ xin lỗi, mình chỉ hỗ trợ tư vấn bánh và dịch vụ của Chewy Chewy thôi ạ. Bạn có thể hỏi mình về menu, giá bánh, tư vấn bánh, đặt hàng, giao hàng, bảo quản bánh hoặc địa chỉ chi nhánh nhé.",OUT_OF_SCOPE Không có dữ liệu laptop trong knowledge base,Shop không bán laptop; hệ thống chỉ hỗ trợ thông tin về bánh và dịch vụ Chewy Chewy.
Shop có mã giảm giá không?,Dạ hiện tại shop chưa có chương trình ưu đãi hoặc mã giảm giá ạ. Bạn có thể tham khảo menu bánh hoặc để mình tư vấn mẫu phù hợp nhé.,"UNSUPPORTED_INFO: Câu hỏi chứa từ khóa mã giảm giá, thuộc nhóm thông tin chưa có dữ liệu chắc chắn.",Hiện tại shop chưa có thông tin chắc chắn về mã giảm giá hoặc chương trình ưu đãi.
Bánh để được bao lâu?,"Dạ bánh nên dùng trong ngày để ngon nhất ạ. Nếu chưa dùng ngay, bạn nên bảo quản lạnh và tránh để bánh ở nơi nóng. Khi ăn có thể lấy bánh ra trước một chút để bánh mềm ngon hơn nhé.",Products.json: hướng dẫn bảo quản các loại bánh; khuyến nghị dùng trong ngày hoặc bảo quản lạnh 1 2 ngày tùy loại,"Bánh nên dùng trong ngày để đảm bảo chất lượng ngon nhất. Nếu chưa dùng ngay, nên bảo quản trong ngăn mát tủ lạnh và dùng trong vòng 1 2 ngày tùy loại bánh."
Đơn hàng bị giao sai thì xử lý như thế nào?,"Dạ mình rất tiếc về trải nghiệm này ạ. Bạn gửi giúp mình số điện thoại đặt hàng, mã đơn nếu có, và vấn đề bạn gặp phải để shop kiểm tra và hỗ trợ nhanh nhất nhé.","Orders.json: tất cả đơn hàng, trạng thái, thông tin khách hàng và sản phẩm.","Khi đơn hàng bị giao sai, khách hàng cần liên hệ shop và cung cấp thông tin đơn hàng để được kiểm tra, hỗ trợ đổi hoặc xử lý theo chính sách."
Shop có những loại bánh nào?,"Dạ Chewy Chewy hiện có các dòng bánh chính: Set bánh mini Chewy SET BACK TO BASICS 149000đ SET MINI CHICPO 159000đ SET MINI BINGO 179000đ SET MINI GREENTEA 119000đ SET MINI BLACK PEARL 119000đ ... và 12 mẫu khác Bánh Event sinh nhật EVENT CAKE S07 519000đ EVENT CAKE S06 429000đ EVENT CAKE S05 429000đ EVENT CAKE S04 429000đ EVENT CAKE E46 1360000đ ... và 48 mẫu khác Bánh su Medium ORIGINAL CHICKEN FLOSS 35000đ YIPPEE CHOCO CRUNCCH 35000đ NUTTER CHOCO CRUNCH 35000đ FROOTY CHOCO CRUNCH 35000đ BLACK PEARL 35000đ ... và 21 mẫu khác Bạn muốn xem chi tiết dòng nào ạ? Ví dụ: Event Cake, Set Mini hoặc Bánh su Medium.","Products.json: danh mục sản phẩm gồm Set bánh mini Chewy, Bánh Event sinh nhật, Bánh su Medium; ví dụ một số sản phẩm: SET MINI GREENTEA, SET MINI VANILLA, CHEWY CHOCOLATE, GREEN TEA, EVENT CAKE E01, EVENT CAKE E28, EVENT CAKE E41","Shop có các nhóm bánh như Set bánh mini Chewy, Bánh su Medium và Bánh Event sinh nhật."
Shop có bánh kim cương vàng không?,"Dạ hiện tại mình chưa tìm thấy sản phẩm tên bánh kim cương vàng trong dữ liệu của Chewy Chewy ạ. Bạn có thể tham khảo các dòng bánh hiện có như Set Mini, Event Cake hoặc Bánh su Medium nhé.","Products.json: không tìm thấy sản phẩm tên bánh kim cương vàng; các nhóm sản phẩm hiện có gồm Set bánh mini Chewy, Bánh su Medium, Event Cake.",Hiện không có thông tin về sản phẩm bánh kim cương vàng trong dữ liệu của Chewy Chewy.
Những loại bánh dưới 500.000 đồng là gì?,"Dạ các mẫu dưới 500,000đ bên mình có: SET BACK TO BASICS 149000đ SET MINI CHICPO 159000đ SET MINI BINGO 179000đ EVENT CAKE S06 429000đ EVENT CAKE S05 429000đ EVENT CAKE S04 429000đ SET MINI GREENTEA 119000đ EVENT CAKE E30 425000đ EVENT CAKE E20 475000đ ORIGINAL CHICKEN FLOSS 35000đ Bạn muốn mình lọc tiếp theo vị bánh không ạ?","Products.json: các sản phẩm có giá < 500000 VND, bao gồm SET BACK TO BASICS, SET MINI CHICPO, SET MINI BINGO, SET MINI GREENTEA, EVENT CAKE S06, EVENT CAKE E20, ORIGINAL CHICKEN FLOSS",Các loại bánh dưới 500.000 đồng là những sản phẩm có giá nhỏ hơn 500.000 đồng trong dữ liệu.
Set mini có những vị gì?,Dạ hiện dòng bánh này bên mình có các vị như: Cheese Chocolate Dau Hanh Nhan Mango Oreo Pho Mai Socola Vanilla Xoai Yogurt Bạn thích vị nào để mình gợi ý mẫu bánh phù hợp nha,"Products.json: dòng Set Mini gồm các vị Chocolate, Vanilla, Matcha/Greentea, Oreo, Cheese, Yogurt, Mango/Xoài, Dâu, Hạnh nhân, Phô mai","Dòng Set Mini của Chewy Chewy có nhiều vị như chocolate, vanilla, matcha, oreo, cheese, yogurt và các vị trái cây."
