question,answer,contexts,ground_truth
"Shop có chi nhánh Quận 7 không?","Có, shop có chi nhánh Chewy Chewy Huỳnh Tấn Phát tại 447 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7.","Chewy Chewy Huỳnh Tấn Phát, địa chỉ 447 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7. Giờ hoạt động: 08h00 - 22h00 mỗi ngày.","Shop có chi nhánh tại Quận 7 ở 447 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7."
"Có bánh vị matcha không?","Có, shop có bánh vị trà xanh/matcha như SET MINI GREENTEA và GREEN TEA.","SET MINI GREENTEA: Set 9 bánh với nhân kem trà xanh, giá 119000 VND. GREEN TEA: Bánh su medium nhân trà xanh kèm topping socola trắng và hạnh nhân rang, giá 35000 VND.","Shop có bánh vị trà xanh/matcha như SET MINI GREENTEA và GREEN TEA."
"Shop có bán laptop không?","Dạ xin lỗi, mình chỉ hỗ trợ tư vấn bánh và dịch vụ của Chewy Chewy thôi ạ.","OUT_OF_SCOPE: Câu hỏi chứa từ khóa laptop, ngoài phạm vi chatbot.","Shop không bán laptop vì hệ thống chỉ hỗ trợ thông tin về bánh và dịch vụ của Chewy Chewy."
"Shop có mã giảm giá không?","Dạ hiện tại shop chưa có chương trình ưu đãi hoặc mã giảm giá ạ.","UNSUPPORTED_INFO: Câu hỏi chứa từ khóa mã giảm giá, thuộc nhóm thông tin chưa có dữ liệu chắc chắn.","Hiện tại shop chưa có thông tin chắc chắn về mã giảm giá hoặc chương trình ưu đãi."
"Bánh để được bao lâu?","Bánh nên dùng trong ngày hoặc bảo quản trong ngăn mát tủ lạnh 1-2 ngày.","Hướng dẫn bảo quản: dùng trong ngày hoặc để ngăn mát 1-2 ngày tùy loại bánh.","Thời gian bảo quản bánh phụ thuộc vào loại bánh và điều kiện bảo quản. Nên dùng trong ngày hoặc bảo quản lạnh theo hướng dẫn của shop."
"Đơn hàng bị giao sai thì xử lý như thế nào?","Khách hàng cần liên hệ shop, cung cấp mã đơn hàng và thông tin để được hỗ trợ đổi hoặc xử lý.","Orders.json: các thông tin đơn hàng đã đặt và trạng thái.","Khi đơn hàng bị giao sai, khách hàng cần liên hệ shop để được kiểm tra và xử lý."
"Shop có những loại bánh nào?","Shop có các nhóm bánh như Set bánh mini Chewy, Bánh su Medium và Bánh Event sinh nhật.","Danh mục sản phẩm trong dữ liệu gồm: Set bánh mini Chewy, Bánh su Medium, Bánh Event sinh nhật. Một số sản phẩm ví dụ: SET MINI GREENTEA, SET MINI VANILLA, CHEWY CHOCOLATE, GREEN TEA, EVENT CAKE E01, EVENT CAKE E28, EVENT CAKE E41","Shop có các nhóm bánh như Set bánh mini Chewy, Bánh su Medium và Bánh Event sinh nhật."
"Event cake có những loại nào?","Event cake gồm nhiều mẫu như EVENT CAKE E01, E02, E03, E28, E30, E40, E41.","Products.json: các sản phẩm Event Cake.","Event cake gồm nhiều mẫu như EVENT CAKE E01, E02, E03, E28, E30, E40, E41."
"Set mini có những vị gì?","Set mini có nhiều vị như greentea, vanilla, chocolate, yogurt, mango, bơ tỏi, pork floss.","Products.json: các set mini và vị bánh.","Set mini có nhiều vị như greentea, vanilla, chocolate, yogurt, mango, bơ tỏi, pork floss."
"Shop có bánh kim cương vàng không?","Hiện tại mình chưa tìm thấy sản phẩm tên “bánh kim cương vàng” trong dữ liệu.","Products.json: không có sản phẩm tên 'bánh kim cương vàng'.","Không có thông tin chắc chắn về bánh kim cương vàng."
"Những loại bánh dưới 500.000 đồng là gì?","Shop có nhiều loại bánh dưới 500.000 đồng như bánh su Medium, set mini và một số mẫu Event Cake.","Products.json: giá sản phẩm từng loại.","Các loại bánh dưới 500.000 đồng là những sản phẩm có giá nhỏ hơn 500.000 đồng trong dữ liệu."
"Dòng bánh nào ít ngọt","Một số dòng bánh có vị ngọt dịu hoặc đắng nhẹ như SET MINI GREENTEA và BLACK PEARL.","Products.json: mô tả vị từng sản phẩm.","Dòng bánh ít ngọt là các sản phẩm có mô tả vị ít ngọt hoặc phù hợp với khách không thích ngọt."
"Shop có giao bánh đi Hà Nội trong ngày không?","Shop có chi nhánh Chewy Junior tại Hà Nội và có thể giao hàng nội thành.","Stores.json: thông tin chi nhánh Chewy Junior Hà Nội.","Shop có chi nhánh Chewy Junior tại Hà Nội, có thể giao hàng nội thành."
"Có bánh nào dành cho người tiểu đường không?","Hiện tại chưa có thông tin bánh dành riêng cho người tiểu đường. Các sản phẩm hiện có là bánh ngọt thông thường.","Products.json: các loại bánh hiện có, không có nhãn dành cho người tiểu đường.","Hiện tại không có thông tin bánh dành riêng cho người tiểu đường trong dữ liệu Chewy Chewy."
"Shop có bánh sinh nhật 3 tầng không?","Hiện tại chưa có thông tin cụ thể về bánh sinh nhật 3 tầng. Có thể tham khảo các mẫu Event Cake hiện có.","Products.json: các Event Cake hiện có.","Hiện không có thông tin về bánh sinh nhật 3 tầng."
"Tôi bị dị ứng hạnh nhân, có bánh nào ăn được không?","Một số sản phẩm chứa hạnh nhân, không có thông tin đầy đủ về dị ứng. Khách hàng nên kiểm tra thành phần hoặc liên hệ trực tiếp shop.","Products.json: SET MINI GREENTEA, GREEN TEA, ALMOND SWEETHEART, ALMOND CHOCOLATE CRUNCH.","Dữ liệu có một số sản phẩm chứa hạnh nhân, nhưng không có thông tin đầy đủ về dị ứng hoặc cam kết an toàn dị ứng."
"CHEWY CHOCOLATE giá bao nhiêu?","CHEWY CHOCOLATE có giá 28.000đ. Đây là bánh su medium nhân chocolate truyền thống của Chewy Chewy.","Products.json: CHEWY CHOCOLATE, set mini chocolate.","CHEWY CHOCOLATE có giá 28.000đ."
